Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"5554-1","Duplo","Thomas & Friends",2005,"Thomas Load and Carry Train Set",2,61,29.99,29.99,,,,673419059800,48,28.8,11.4,1.49,"",0,0,0,,0,0,,,,,,,,,184.5100,46.0000,"01/06/2005","31/05/2008"
"3731-1","Bulk Bricks","Seasonal",2000,"Pumpkin Pack",,87,,9.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.0000,15.0000,"",""
"850632-1","Ninjago","The Final Battle",2013,"Samurai Accessory Set",4,36,10.49,14.99,17.99,,,673419195003,,,,,"",0,0,0,,0,0,,,,,,,,,33.8100,19.9900,"",""
"41808-1","Dots","Harry Potter",2023,"Hogwarts Accessories Pack",,234,12.99,14.99,19.99,14.99,5702017421193,673419377430,10,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,12.2700,,"01/03/2023","31/12/2023"
"41943-1","Dots","Bracelets",2022,"Gamer Bracelet with Charms",,37,5.99,5.99,7.99,6.99,5702017156118,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2000,,"",""
"391508-1","Legends of Chima","Magazine gift",2015,"Bulkar",1,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.1900,,"",""
"40129-1","Promotional","Monthly Mini Model Build",2015,"UFO",,39,,,,,5702015355285,673419232456,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,4.9900,3.5000,"01/04/2015","31/12/2015"
"70373-1","Nexo Knights","Combo NEXO Powers",2017,"Combo NEXO Powers Wave 2",,10,2.99,3.99,,3.99,,673419267083,8.9916,13.9954,1.0414,0.01814368,"",0,0,0,,0,0,,,,,,,,,3.3800,,"01/06/2017","31/12/2017"
"10877-1","Duplo","Disney Princess",2018,"Belle's Tea Party",4,19,17.99,19.99,24.99,19.99,5702016111392,673419282628,26.2,19.1,6.1,0.27,"",0,0,0,,0,0,,,,,,,,,30.0000,12.6000,"01/01/2018","31/12/2019"
"391408-1","Legends of Chima","Magazine gift",2014,"Vornon",1,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9900,3.7500,"",""
"10954-1","Duplo","",2021,"Number Train - Learn To Count",2,23,17.99,19.99,24.99,19.99,5702016911114,673419338233,35.4,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,16.6300,,"01/06/2021","31/12/2025"
"41937-1","Dots","Accessories",2021,"Multi Pack - Summer Vibes",,441,24.99,29.99,39.99,29.99,5702016915853,673419341486,27.3,22.3,5.2,,"",0,0,0,,0,0,,,,,,,,,17.0000,,"01/06/2021","30/11/2021"
"41666-1","Friends","Play Cube",2021,"Andrea's Bunny Cube",1,45,8.99,9.99,13.99,9.99,5702016915693,,15.7,21,5.2,,"",0,0,0,,0,0,,,,,,,,,7.0500,5.5100,"01/01/2021","31/12/2021"
"850842-1","Seasonal","Christmas",2013,"Fire Truck Holiday Bauble",,34,6.99,7.99,9.99,,,673419201292,,,,,"",0,0,0,,0,0,,,,,,,,,57.1800,,"",""
"312-3","LEGOLAND","Boats",1973,"Cargo Ship",,59,1.85,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,27.3500,"",""
"387-1","LEGOLAND","",1976,"Excavator and Dumper",,159,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,44.2600,"",""
"7727-1","Trains","4.5/12V",1983,"Freight Steam Train Set",2,570,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,862.7900,388.7500,"",""
"3304-1","Town","Football",1998,"Dutch Footballer",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.6200,1.4500,"",""
"10021-1","Hobby Set","",2003,"USS Constellation",,973,44.99,60,,,,673419019712,48,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,234.0000,90.0000,"03/03/2003","28/02/2005"
"694-1","LEGOLAND","Vehicle",1975,"Transport Truck",,65,1.2,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,55.1000,22.2400,"",""
"585-1","LEGOLAND","",1976,"Police Headquarters",4,300,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,61.5800,"",""
"60339-1","City","Stuntz",2022,"Double Loop Stunt Arena",7,598,129.99,159.99,199.99,149.99,5702017162089,673419359320,58.2,37.8,8.7,1.473,"",0,0,0,,0,0,,,,,,,,,119.0600,,"01/06/2022","31/12/2023"
"41739-1","Friends","Bedrooms",2023,"Liann's Room",2,204,17.99,19.99,24.99,19.99,5702017415246,673419374347,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,14.8300,,"01/01/2023","31/12/2024"
"242318-1","Marvel Super Heroes","Magazine Gift",2023,"Mighty Thor",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2000,,"",""
"952016-1","City","Magazine Gift",2020,"Policeman and Robber",2,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.3500,3.2000,"",""
"ISBN9780241279588-1","Books","Dorling Kindersley",2017,"The LEGO BATMAN MOVIE: The Making of the Movie",,,,24.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4107-1","Creator","Bucket",2002,"Build Your Dreams",,1000,29.99,20,,,5702014152403,,,,,,"",0,0,0,,0,0,,,,,,,,,,33.9900,"",""
"4579-1","Racers","Xalax",2001,"Freeze & Chill",2,114,14.99,20,,,,,33.6,24,7.2,,"",0,0,0,,0,0,,,,,,,,,65.0000,21.9200,"01/07/2001","30/06/2002"
"4577-1","Racers","Xalax",2001,"Snake",1,8,2.99,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.9900,4.9300,"",""
"3416-1","Sports","Football",2001,"Women's Team",6,62,,9.95,,,,042884034160,19.2,14.2,7,,"",0,0,0,,0,0,,,,,,,,,28.8800,18.0000,"01/05/2001","31/12/2002"
"8366-1","Racers","Drome Racers",2003,"Supersonic RC",,429,79.99,130,,,5702014267640,,57.6,48,7.2,,"",0,0,0,,0,0,,,,,,,,,576.3200,295.3200,"01/07/2003","31/12/2004"
"7308-1","Space","Life On Mars",2001,"Double Hover",1,21,,,,,,,14.4,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,16.4900,7.0000,"01/01/2001","31/12/2001"
"40321-1","Promotional","Monthly Mini Model Build",2019,"Jet Fighter",,23,,,,,5702016371123,,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,4.1900,,"01/01/2019","31/12/2019"
"10965-1","Duplo","",2022,"Bath Time Fun: Floating Animal Train",,14,17.99,19.99,24.99,19.99,5702017153599,673419356794,35.4,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,17.0600,,"01/01/2022","31/12/2025"
"242217-1","Marvel Super Heroes","Magazine Gift",2022,"Rescue and Drone",1,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.5100,,"",""
"71038-0","Collectable Minifigures","Disney 100 Series",2023,"LEGO Minifigures - Disney 100 Series {Random bag}",,,3.49,4.99,5.99,3.99,5702017417813,673419376372,9.5,15,0.7,,"",0,0,0,,0,0,,,,,,,,,,,"01/05/2023","31/08/2023"
"853842-1","Xtra","Playmats",2018,"Park Playmat",,11,6.99,7.99,9.99,7.99,,673419295482,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"TRUJWGATE-1","Jurassic World","Promotional",2015,"Jurassic World Gate",,62,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,19.9900,"",""
"351-1","LEGOLAND","Building",1971,"Gravel Depot",,170,2.2,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,41.2000,"",""
"20003-1","Creator","Promotional",2008,"Dinosaur",,102,,,,,,673419106566,,,,,"",0,0,0,,0,0,,,,,,,,,22.8100,8.0000,"",""
"3311-1","Town","Football",1998,"Television Tower",2,99,,,,,5702010933112,,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,42.0000,13.2100,"01/03/1998","31/12/1998"
"10527-1","Duplo","",2014,"Ambulance",1,14,12.99,14.99,17.99,14.99,5702015125116,673419211505,20.4978,19.1008,9.1948,0.36,"",0,0,0,,0,0,,,,,,,,,25.0000,21.7900,"",""
"71011-18","Collectable Minifigures","Series 15",2016,"LEGO Minifigures - Series 15 - Sealed Box",,,2.49,,3.99,2.99,,673419249423,11.9888,8.9916,0.2032,0.00908,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2016","30/04/2016"
"76993-1","Sonic the Hedgehog","Modern Games",2023,"Sonic vs. Dr. Eggman's Death Egg Robot",3,615,57.99,59.99,79.99,64.99,5702017419510,673419376020,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,54.3100,,"01/08/2023","31/12/2024"
"41664-1","Friends","Play Cube",2021,"Mia's Pug Cube",1,40,8.99,9.99,13.99,9.99,5702016915587,673419341325,15.7,21,5.2,,"",0,0,0,,0,0,,,,,,,,,7.4400,,"01/01/2021","31/12/2021"
"891504-1","Ninjago","Magazine Gift",2015,"Weapons Rack",,24,3.25,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.8200,4.1600,"",""
"TRULUMIERE-1","Disney","Promotional",2016,"Lumiere",,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.8600,5.3100,"",""
"1098-1","Town","Extreme Team",1999,"Hang Glider",1,19,,,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,19.9900,8.9900,"01/01/1999","31/12/1999"
"6557-1","Town","Divers",1997,"Treasure Hunters",3,139,,22,,,5702010965571,,,,,,"",0,0,0,,0,0,,,,,,,,,300.0000,148.2400,"",""
"8227-1","Racers","",2011,"Dragon Dueler",,94,9.99,12.99,17.99,,5702014734388,673419144629,,,,,"",0,0,0,,0,0,,,,,,,,,18.2100,6.7600,"",""
"10510-1","Duplo","Planes",2013,"Ripslinger's Air Race",2,40,19.99,24.99,24.99,29.99,5702014973442,673419190930,35.4076,19.1008,11.811,0.56,"",0,0,0,,0,0,,,,,,,,,14.9700,16.0000,"",""
"5659-1","Duplo","Toy Story",2010,"The Great Train Chase",3,39,35.99,34.99,39.99,,,673419129459,38.2,26.19,9.4,0.7,"",0,0,0,,0,0,,,,,,,,,85.3000,26.0800,"01/06/2010","31/07/2011"
"6330-1","Town","City",1998,"Cargo Centre",5,228,,49.75,,,5702010963300,,38.4,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,95.0000,58.8600,"01/01/1998","31/12/1999"
"8471-1","Racers","Drome Racers",2002,"Nitro Burner",,119,14.99,20,,,5702014153035,673419011433,32.4,19.2,6,,"",0,0,0,,0,0,,,,,,,,,55.4000,6.5100,"01/01/2002","31/12/2003"
"3629-1","Fabuland","",1981,"Barney Bear",1,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,111.8200,10.1200,"",""
"271829-1","Nexo Knights","Magazine Gift",2018,"Clay",1,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.9300,3.4400,"",""
"60380-1","City","Town",2023,"Downtown",14,2010,179.99,199.99,259.99,209.99,5702017419473,673419375986,57.8,47.6,8.6,3.203,"",0,0,0,,0,0,,,,,,,,,165.3800,,"01/06/2023","31/12/2024"
"2734-1","Duplo","Trains",1993,"Straight Track (Straight Rails)",,6,7.49,4.99,7.99,,5702010927340,,,,,,"",0,0,0,,0,0,,,,,,,,,11.7700,7.6800,"",""
"956-1","Technic","",1978,"Auto Chassis",,599,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,170.0000,"",""
"618-1","LEGOLAND","",1977,"Police Helicopter",,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,90.0000,10.8100,"",""
"21100-1","Ideas","Licensed",2011,"Shinkai 6500 Submarine",,413,,,,,5702014796751,,,,,,"",0,0,0,,0,0,,,,,,,,,785.8500,470.6800,"",""
"853111-1","Ninjago","Booster Pack",2011,"Ninjago Weapons Set + Lenticular Card",1,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,31.6700,20.0000,"",""
"60366-1","City","General",2023,"Ski and Climbing Centre",8,1045,94.99,119.99,149.99,104.99,5702017415666,673419374019,47.8,37.5,9,2.233,"",0,0,0,,0,0,,,,,,,,,83.5200,,"01/06/2023","31/12/2024"
"11951-1","Creator","Magazine Gift",2021,"Orangutan",,51,,,,,5702016911206,,,,,,"",0,0,0,,0,0,,,,,,,,,3.1300,,"",""
"10897-1","Duplo","Minnie",2019,"My First Minnie Build",,10,8.99,9.99,13.99,9.99,5702016367522,673419301770,14.1,19.1,9.1,0.25,"",0,0,0,,0,0,,,,,,,,,6.9000,,"01/01/2019","31/12/2020"
"391502-1","Legends of Chima","Magazine gift",2015,"Saber-tooth tribe launcher",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4200,,"",""
"5573-1","Bricks and More","",2008,"LEGO Build & Play",1,643,29.35,44.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,33.5300,"",""
"8167-1","Racers","Power Racers",2009,"Jump Riders",,209,15.65,19.99,,,5702014533844,673419112055,28.2,26.2,6.4,0.47,"",0,0,0,,0,0,,,,,,,,,25.9400,8.9900,"",""
"697-1","LEGOLAND","",1976,"Stage Coach",1,95,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,83.6100,15.1900,"",""
"369-1","LEGOLAND","Building",1976,"Coast Guard Station",5,275,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,250.0000,39.3300,"",""
"609-1","LEGOLAND","",1972,"Aeroplane",,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,60.9600,11.3400,"",""
"30321-1","Duplo","",2016,"Duck",,4,,,,,5702015608503,,17,19.5,1.2,,"",0,0,0,,0,0,,,,,,,,,3.0000,0.5000,"01/01/2016","31/12/2016"
"271717-1","Nexo Knights","Magazine Gift",2017,"Stone Bolide",,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.1900,1.0700,"",""
"892297-1","Ninjago","Magazine Gift",2022,"Golden Oni Lloyd",1,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3000,,"",""
"4108-1","Town","Accessories",2002,"Road Plates, Junction",,2,4.99,7,,,5702014242869,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,,"",""
"5966-1","Exo-Force","",2006,"White Good Guy",1,22,1.49,,,,5702014482807,,,,,,"",0,0,0,,0,0,,,,,,,,,11.6400,7.0000,"",""
"8186-1","Racers","Tiny Turbos",2009,"Street Extreme",,757,49.99,69.99,89.99,,,673419112109,48.01,37.8,9.4,1.41,"",0,0,0,,0,0,,,,,,,,,131.2800,50.0000,"01/06/2009","31/12/2010"
"662102-1","Minecraft","Magazine Gift",2022,"TNT Launcher and Skeleton",1,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.4000,,"",""
"10953-1","Duplo","",2021,"Unicorn",,8,8.99,9.99,13.99,9.99,5702016911107,673419338226,,,,,"",0,0,0,,0,0,,,,,,,,,10.6200,,"",""
"952203-1","City","Magazine Gift",2022,"Sam Speedster's Motorcycle",1,12,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.3400,3.6300,"",""
"71460-1","Dreamzzz","Trials of the Dream Chasers",2023,"Mr. Oz's Spacebus",10,878,84.99,99.99,119.99,99.99,5702017419404,673419376471,54,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,73.3700,,"01/08/2023","31/12/2024"
"6132-1","Duplo","Cars",2012,"Red",1,13,12.99,14.99,17.99,,5702014832565,673419166256,26.2,14.1,7.2,0.25,"",0,0,0,,0,0,,,,,,,,,60.0000,17.0000,"",""
"695-1","LEGOLAND","",1976,"Racing Car",,67,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.0300,6.5000,"",""
"41400-1","Friends","Play Cube",2020,"Andrea's Play Cube - Singer",1,49,7.99,9.99,13.99,9.99,5702016618860,673419319843,15.3,20.5,5.2,0.1,"",0,0,0,,0,0,,,,,,,,,15.9900,,"01/01/2020","31/03/2020"
"40249-1","Promotional","Monthly Mini Model Build",2017,"St. Bernard Dog",,45,,,,,5702015867429,673419265973,17,17,0.9,,"",0,0,0,,0,0,,,,,,,,,9.1200,4.4800,"01/11/2017","31/12/2017"
"40132-1","Promotional","Monthly Mini Model Build",2015,"Whale",,31,,,,,5702015355315,,17,17,1,,"",0,0,0,,0,0,,,,,,,,,5.3200,2.5000,"01/07/2015","31/12/2015"
"391411-1","Legends of Chima","Magazine gift",2014,"Shooter",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.7700,,"",""
"10582-1","Duplo","Forest Animals",2015,"Forest: Animals",2,39,16.99,19.99,24.99,19.99,5702015355186,,26.1874,19.1008,11.811,0.51,"",0,0,0,,0,0,,,,,,,,,84.1100,24.2800,"01/03/2015","31/12/2016"
"8546-1","Bionicle","Promotional",2001,"Bionicle Power Pack",,10,9.99,15,,,5702012019135,601215883220,,,,,"",0,0,0,,0,0,,,,,,,,,183.0400,39.8800,"",""
"815-1","Basic","Supplementaries",1986,"Baseplate, Grey",,1,,7.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.8500,6.4800,"",""
"6499-1","Time Cruisers","Time Twisters",1997,"Time Tunnelator",1,80,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,67.5000,22.0000,"",""
"3806-1","Spybotics","",2002,"Gigamesh G60",,244,59.99,60,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,85.0000,70.0000,"",""
"4976-1","Duplo","LEGO Ville",2007,"Cement Mixer",1,11,12.99,16.99,,,5702014500174,,,,,,"",0,0,0,,0,0,,,,,,,,,75.0000,19.7100,"",""
"66512-1","Star Wars","Product Collection",2014,"Star Wars Rebels Super Pack 2 in 1",,1163,,109.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1269.0100,362.9700,"",""
"391507-1","Legends of Chima","Magazine gift",2015,"Stealthor",1,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.3700,,"",""
"40209-1","Promotional","Monthly Mini Model Build",2016,"Snowmobile",,26,,,,,5702015595193,673419249805,17,17,0.6,,"",0,0,0,,0,0,,,,,,,,,7.2500,3.7500,"01/02/2016","31/12/2016"
"122116-1","Jurassic World","Magazine Gift",2021,"Sinjin Prescott and buggy",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5200,,"",""
"11955-1","Creator","Magazine Gift",2021,"Lion",,47,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.3500,,"",""
"71420-1","Super Mario","Expansion Set",2023,"Rambi the Rhino",1,106,8.99,10.99,13.99,9.99,5702017415727,673419374545,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,9.0900,,"01/08/2023","31/07/2024"
"122220-1","Jurassic World","Magazine Gift",2022,"Owen with Airboat",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.2900,,"",""
"663-1","LEGOLAND","Vehicle",1977,"Hovercraft",,60,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,6.1500,"",""
"1649-1","Basic","",1989,"Sea Skimmer",,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.1900,2.1400,"",""
"3014-1","Space","Ice Planet 2002",1998,"Ice Planet Scooter",1,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.3800,16.6500,"",""
"590-1","Town","",1978,"Engine Co. No. 9",4,280,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,299.0000,70.0000,"",""
"40135-1","Promotional","Monthly Mini Model Build",2015,"Angler Fish",,29,0,0,,,5702015355346,673419232517,17,17,1,,"",0,0,0,,0,0,,,,,,,,,6.9600,6.0000,"01/10/2015","31/12/2015"
"662203-1","Minecraft","Magazine Gift",2022,"Iron Golem",1,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.3100,,"",""
"8231-1","Racers","",2011,"Vicious Viper",,96,9.99,12.99,17.99,,5702014734401,673419144643,,,,,"",0,0,0,,0,0,,,,,,,,,18.0000,6.2100,"",""
"850849-1","Seasonal","Christmas",2013,"Doghouse Holiday Bauble",,29,,7.99,9.99,,,673419201315,,,,,"",0,0,0,,0,0,,,,,,,,,14.5000,6.8400,"",""
"5815-1","Duplo","Cars",2010,"Flo's V-8 Cafe",3,32,25.99,29.99,39.99,,5702014601413,673419129190,38.2,26.19,7.06,0.6,"",0,0,0,,0,0,,,,,,,,,133.0000,37.3700,"",""
"648-1","LEGOLAND","Building",1971,"Service Station",,55,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,220.5300,24.7200,"",""
"4904-1","Creator","Designer Set",2005,"Elephant",,34,,,,,,673419064910,14,14,0,0.03,"",0,0,0,,0,0,,,,,,,,,10.8000,6.0000,"01/01/2005","31/12/2005"
"892289-1","Ninjago","Magazine Gift",2022,"Jay",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.1600,,"",""
"40134-1","Promotional","Monthly Mini Model Build",2015,"Scuba Diver",,45,,,,,5702015355339,673419232500,17,17,1,,"",0,0,0,,0,0,,,,,,,,,6.4500,2.5000,"01/09/2015","31/12/2015"
"10521-1","Duplo","",2014,"Baby Calf",1,9,5.99,6.99,8.99,6.99,5702015125079,673419211468,14.097,12.192,6.096,0.11,"",0,0,0,,0,0,,,,,,,,,7.8800,8.7400,"",""
"10903-1","Duplo","",2019,"Fire Station",2,76,39.99,49.99,69.99,49.99,5702016367676,673419301923,35.4,37.8,9.4,1.14,"",0,0,0,,0,0,,,,,,,,,65.9600,27.9900,"01/01/2019","31/12/2021"
"40284-1","Promotional","Monthly Mini Model Build",2018,"Glider",,29,,,,,5702016122541,,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,5.8000,,"01/09/2018","31/12/2018"
"70209-1","Legends of Chima","Buildable Figures",2014,"CHI Mungus",,64,12.99,14.99,,,5702015115209,673419207232,19.5072,27.9908,7.493,0.11,"",0,0,0,,0,0,,,,,,,,,52.5900,9.3300,"01/06/2014","31/12/2014"
"40213-1","Promotional","Monthly Mini Model Build",2016,"Seaplane",,24,,,,,5702015595230,673419249843,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,4.3300,2.7800,"01/06/2016","31/12/2016"
"5818-1","Duplo","Cars",2011,"Luigi's Italian Place",2,22,20.99,19.99,24.99,,5702014734128,673419144414,35.41,19.1,7.01,0.36,"",0,0,0,,0,0,,,,,,,,,26.5700,19.8500,"",""
"6200-1","Pirates","Bonus/Value Pack",1989,"Double Pack",,45,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"210-1","Building Set with People","",1976,"Cowboys",,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,88.0500,19.3500,"",""
"6498-1","Town","Racing",1999,"Go-Kart",1,22,,2,,,,,14.1,14.1,0,,"",0,0,0,,0,0,,,,,,,,,5.3700,6.0000,"01/01/1999","31/12/2001"
"40327-1","Promotional","Monthly Mini Model Build",2019,"Ice Cream Truck",,48,,,,,5702016371215,673419304641,17,17,1.1,,"",0,0,0,,0,0,,,,,,,,,5.0700,3.6000,"01/07/2019","31/12/2019"
"892290-1","Ninjago","Magazine Gift",2022,"Cole",1,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4900,2.6500,"",""
"892305-1","Ninjago","Magazine Gift",2023,"Aspheera",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.1300,,"",""
"40286-1","Promotional","Monthly Mini Model Build",2018,"Ice Dragon",,50,,,,,5702016122565,673419285889,17,17,0.9,,"",0,0,0,,0,0,,,,,,,,,3.7700,3.7500,"01/11/2018","31/12/2018"
"6713-1","Town","Race",2000,"Grip 'n' Go Challenge",3,291,,30,,,,,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,24.0000,15.9800,"01/07/2000","31/12/2001"
"8364-1","Racers","Drome Racers",2003,"Multi-Challenge Race Track",4,623,69.99,89.99,,,5702014267626,,57.6,38.4,11.4,,"",0,0,0,,0,0,,,,,,,,,270.0000,93.1500,"01/09/2003","31/12/2004"
"3706-1","Fabuland","",1982,"Ernie Elephant",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.0000,6.3500,"",""
"689-1","LEGOLAND","",1974,"Grabber",,46,0.98,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,11.6200,"",""
"5639-1","Duplo","LEGO Ville",2009,"Family House",4,71,49.99,69.99,89.99,,5702014537378,673419126939,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,117.4500,64.3900,"01/06/2009","31/12/2012"
"8184-1","Racers","Remote Control",2009,"Twin X-treme RC",,239,36.19,,,,5702014534346,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,118.0700,94.9900,"01/03/2009","31/12/2009"
"3724-1","Advanced models","Sculptures",2001,"LEGO Dragon",,1530,,99,,,,,53.2,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,1315.9200,396.0000,"01/01/2001","30/06/2002"
"75512-1","Star Wars","Promotional",2018,"Millennium Falcon Cockpit",2,203,,,,,,673419306690,,,,,"",0,0,0,,0,0,,,,,,,,,299.9900,85.0000,"",""
"271719-1","Nexo Knights","Magazine Gift",2017,"Stomper's Shooter",,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.3800,1.0000,"",""
"76991-1","Sonic the Hedgehog","Classic Games",2023,"Tails' Workshop and Tornado Plane",3,376,37.99,39.99,49.99,42.99,5702017419497,673419376006,26.2,22.2,6.2,,"",0,0,0,,0,0,,,,,,,,,36.8800,,"01/08/2023","31/12/2024"
"122223-1","Jurassic World","Magazine Gift",2022,"Owen with Quad",1,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.0500,,"",""
"40326-1","Promotional","Monthly Mini Model Build",2019,"Frog",,39,,,,,5702016371208,673419304634,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,7.7300,4.5000,"31/05/2019","31/12/2019"
"10528-1","Duplo","",2014,"School Bus",3,26,17.99,19.99,19.99,19.99,5702015125123,673419211512,26.1874,19.1008,11.811,0.5,"",0,0,0,,0,0,,,,,,,,,13.2900,20.7300,"01/06/2014","31/12/2015"
"1484-1","Town","Special",1987,"Houses",2,197,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,65.9200,"",""
"126-1","Trains","4.5v",1970,"Steam Locomotive (Push)",,60,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,700.9600,40.8600,"",""
"430-1","LEGOLAND","",1975,"Biplane",,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,75.0000,5.0000,"",""
"6157-1","Duplo","Zoo",2012,"The Big Zoo",4,147,79.99,89.99,119.99,,5702014833760,,58.2,48,12.7,,"",0,0,0,,0,0,,,,,,,,,133.7400,118.7400,"01/01/2012","31/12/2013"
"66449-1","Star Wars","Product Collection",2013,"Super Pack 3-in-1",,727,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,154.8300,,"",""
"10883-1","Duplo","",2019,"My First Tow Truck",,11,7.99,9.99,13.99,9.74,5702016367553,673419301800,26.2,14.1,7.2,0.26,"",0,0,0,,0,0,,,,,,,,,8.7000,5.6600,"01/01/2019","31/12/2020"
"212222-1","DC Comics Super Heroes","Magazine Gift",2022,"Batcycle",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8500,,"",""
"LUKE-1","Star Wars","Promotional",2019,"Luke Skywalker",,87,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
